id;name;duration;description;language;image_url;publish_date
1;steradian;5062;../fake-data/blob/hipster.txt;Francais;Dakota reheat;2023-07-05T08:31:00
2;exuding;15852;../fake-data/blob/hipster.txt;Arabe;facilitate;2023-07-05T18:25:14
3;Computer olive;63030;../fake-data/blob/hipster.txt;Arabe;transmit;2023-07-06T01:19:48
4;yet;73580;../fake-data/blob/hipster.txt;Anglais;Identity hacking inasmuch;2023-07-05T09:13:32
5;Club transmit;5035;../fake-data/blob/hipster.txt;Francais;program engine Coves;2023-07-05T19:58:00
6;conceptualise;44813;../fake-data/blob/hipster.txt;Francais;Tunnel TCP;2023-07-05T17:35:48
7;female provided Country;30696;../fake-data/blob/hipster.txt;Arabe;rash;2023-07-05T17:19:00
8;Tricycle Gasoline Music;57027;../fake-data/blob/hipster.txt;Anglais;photosynthesise Trial unlike;2023-07-05T12:28:01
9;iusto;18747;../fake-data/blob/hipster.txt;Francais;Jazz Representative fuchsia;2023-07-05T09:18:14
10;online Buckinghamshire snowboarding;97953;../fake-data/blob/hipster.txt;Anglais;green Southwest;2023-07-05T18:10:51
